Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
Canada,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 09/2021",841.875,871.367,843.594,865.539,916.679,960.106,980.7,"1,020.64","1,065.66","1,090.35","1,092.14","1,069.36","1,078.99","1,107.70","1,157.48","1,188.66","1,207.91","1,259.61","1,308.69","1,376.25","1,447.51","1,473.42","1,517.89","1,545.23","1,592.93","1,643.97","1,687.28","1,722.24","1,739.53","1,688.64","1,740.81","1,795.58","1,827.20","1,869.76","1,923.42","1,936.10","1,955.49","2,014.93","2,063.89","2,102.30","1,990.61","2,103.83","2,206.70","2,264.83","2,299.78","2,332.58","2,368.73",2020
Canada,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 09/2021,7.517,7.617,11.1,12,11.375,10.508,9.608,8.8,7.775,7.508,8.15,10.317,11.217,11.375,10.392,9.467,9.608,9.092,8.292,7.567,6.833,7.225,7.667,7.583,7.15,6.767,6.325,6.075,6.2,8.375,8.075,7.55,7.375,7.133,6.967,6.942,7.05,6.383,5.908,5.733,9.6,7.723,5.668,4.925,4.966,5.028,5.02,2020
France,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021","1,158.07","1,170.79","1,198.83","1,214.48","1,234.84","1,254.71","1,282.94","1,316.65","1,376.78","1,438.33","1,481.90","1,495.88","1,518.07","1,509.54","1,544.80","1,579.32","1,601.25","1,638.05","1,697.31","1,752.97","1,824.65","1,861.27","1,882.13","1,897.99","1,947.06","1,980.55","2,032.60","2,081.83","2,084.21","2,026.18","2,063.42","2,109.58","2,117.46","2,130.48","2,151.24","2,173.66","2,195.96","2,249.59","2,290.99","2,333.09","2,146.72","2,281.83","2,371.53","2,414.77","2,450.80","2,484.97","2,519.18",2020
France,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 09/2021,6.349,7.438,8.069,7.383,8.458,8.7,8.875,9.15,8.842,8.7,8.4,8.617,9.442,10.267,10.667,10.508,10.833,10.892,10.692,10.442,9.175,8.458,8.275,8.517,8.858,8.892,8.842,8.017,7.475,9.075,9.267,9.225,9.767,10.308,10.258,10.35,10.05,9.442,9,8.408,7.992,8.133,8.275,8.005,7.895,7.799,7.797,2020
Germany,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 09/2021","1,683.16","1,685.02","1,671.74","1,697.72","1,745.70","1,783.97","1,827.10","1,853.95","1,923.20","1,998.46","2,112.84","2,218.72","2,261.31","2,239.22","2,292.94","2,328.27","2,347.26","2,389.17","2,437.44","2,483.43","2,555.54","2,598.65","2,593.43","2,575.20","2,605.69","2,624.61","2,724.70","2,805.95","2,832.87","2,671.51","2,783.32","2,892.27","2,904.61","2,917.17","2,981.84","3,026.19","3,093.67","3,176.58","3,211.09","3,244.81","3,096.84","3,191.32","3,336.86","3,389.90","3,436.34","3,475.84","3,514.85",2020
Germany,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,3.359,4.831,6.734,8.099,8.058,8.124,7.834,7.843,7.735,6.79,6.155,5.47,6.592,7.775,8.425,8.233,8.908,9.658,9.383,8.558,7.95,7.8,8.6,9.708,10.333,11.008,10.042,8.542,7.425,7.642,6.967,5.833,5.383,5.242,4.992,4.633,4.133,3.758,3.4,3.15,3.833,3.696,3.56,3.459,3.409,3.391,3.384,2020
Italy,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020. Annual and quarterly data are on the work-adjusted basis. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021","1,133.12","1,139.43","1,141.20","1,151.76","1,186.45","1,217.55","1,250.55","1,288.90","1,340.83","1,384.44","1,411.89","1,432.20","1,442.55","1,430.51","1,460.18","1,499.36","1,518.35","1,546.14","1,574.13","1,599.72","1,660.30","1,692.70","1,697.00","1,699.35","1,723.55","1,737.64","1,768.76","1,795.06","1,777.79","1,683.91","1,712.76","1,724.87","1,673.46","1,642.65","1,642.57","1,655.36","1,676.77","1,704.73","1,720.79","1,725.73","1,572.64","1,663.39","1,733.81","1,761.84","1,779.79","1,797.61","1,815.06",2020
Italy,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,7.37,7.649,8.288,7.367,7.833,8.167,8.867,9.617,9.683,9.667,8.858,8.533,8.808,9.833,10.633,11.15,11.15,11.242,11.333,10.942,10.1,9.1,8.608,8.45,8.033,7.75,6.867,6.208,6.783,7.867,8.5,8.6,10.908,12.35,12.808,12.033,11.733,11.325,10.692,10,9.308,10.3,11.6,11.4,11.2,11.05,11,2019
Japan,"Gross domestic product, constant prices",National currency,Billions,"Source: Cabinet Office of Japan via Haver database. Latest actual data: 2020 Notes: the recent revision didn't go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 09/2021","273,862.70","285,390.60","294,844.00","305,231.20","318,973.00","335,666.00","346,832.10","363,239.50","387,885.40","406,729.00","426,629.20","441,209.10","444,950.70","442,646.40","446,522.30","458,270.20","472,631.90","477,269.50","471,206.60","469,633.00","482,616.80","484,480.30","484,683.40","492,124.10","502,882.40","511,953.90","518,979.70","526,681.20","520,233.10","490,615.00","510,720.00","510,841.60","517,864.30","528,248.10","529,812.70","538,081.30","542,137.50","551,220.00","554,300.40","554,381.70","528,960.50","541,433.13","558,750.93","566,401.42","571,081.60","574,331.23","577,164.42",2020
Japan,Unemployment rate,Percent of total labor force,,Source: Cabinet Office of Japan via Haver database. Latest actual data: 2020 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 09/2021,2.017,2.208,2.35,2.658,2.708,2.625,2.767,2.85,2.517,2.25,2.1,2.092,2.15,2.5,2.892,3.15,3.367,3.4,4.1,4.667,4.733,5.042,5.358,5.242,4.733,4.425,4.117,3.833,3.983,5.075,5.058,4.583,4.325,4.008,3.583,3.375,3.108,2.825,2.442,2.358,2.792,2.775,2.375,2.333,2.333,2.333,2.333,2020
